GSS_CODE,NAME,lat,lon
E05000405,Chessington South,51.34796572162468,-0.31202728002718827
E05000414,Tolworth and Hook Rise,51.37426880136158,-0.28990479369942257
E05000401,Berrylands,51.392645884756874,-0.28945652298250524
E05000400,Alexandra,51.38388654659466,-0.2752732090845411
E05000402,Beverley,51.40273959704681,-0.25893770565372376
E05000406,Coombe Hill,51.42176767673207,-0.264683946962665
E05000404,Chessington North and Hook,51.3681536820752,-0.30536854065607066
E05000413,Surbiton Hill,51.384810880612896,-0.3013216518313567
E05000410,Old Malden,51.38501354418149,-0.2554419221685888
E05000412,St. Mark's,51.39604917791519,-0.301692374379863
E05000408,Grove,51.40467387287643,-0.2999099142079488
E05000403,Canbury,51.416851808877716,-0.2946630265180045
E05000409,Norbiton,51.40760337121334,-0.28558392952629025
E05000407,Coombe Vale,51.4092413398484,-0.2673912845821853
E05000411,St. James,51.393262064833095,-0.2564501733869942
E05000415,Tudor,51.424963374812805,-0.30131888403344564
E05011466,Coulsdon Town,51.31642565682508,-0.14468406238912984
E05011476,Purley & Woodcote,51.33550381083624,-0.12528820333858098
E05011487,Waddon,51.3639722164418,-0.1130548872619847
E05011474,Old Coulsdon,51.30410547860743,-0.12137854215711381
E05011469,Kenley,51.316294350922476,-0.10073376340537143
E05011477,Purley Oaks & Riddlesdown,51.33945886673713,-0.10193000535321525
E05011478,Sanderstead,51.334034254307184,-0.07829536873895758
E05011481,Selsdon Vale & Forestdale,51.33994563080881,-0.041862038561035854
E05011484,South Croydon,51.357444916810536,-0.08651869264897527
E05011480,Selsdon & Addington Village,51.35380491826037,-0.049644859829284016
E05011485,South Norwood,51.39816385828134,-0.0793455749154899
E05011483,Shirly South,51.36855602579673,-0.045522610077162934
E05011482,Shirley North,51.38326298777265,-0.04999533720355557
E05011465,Broad Green,51.38208850550653,-0.11609405682390585
E05011488,West Thornton,51.392147109459174,-0.11894256452515195
E05011464,Bensham Manor,51.397121474153884,-0.10639338001273485
E05011472,Norbury & Pollards Hill,51.40599426755787,-0.12260963509025506
E05011473,Norbury Park,51.41398476690966,-0.11035826470956492
E05011471,New Addington South,51.341420427996034,-0.010107704454590206
E05011468,Fairfield,51.37438964570325,-0.0989291248667718
E05011475,Park Hill & Whitgift,51.36929039889398,-0.07790908827730929
E05011463,Addiscombe West,51.380117297901776,-0.08430909201444779
E05011462,Addiscombe East,51.38017848629295,-0.06959162970400007
E05011470,New Addington North,51.35380859284212,-0.018049985116902093
E05011479,Selhurst,51.387529507342954,-0.09514527579525431
E05011489,Woodside,51.39347264429735,-0.06620921360837344
E05011486,Thornton Heath,51.40327209890993,-0.09517434906819118
E05011467,Crystal Palace & Upper Norwood,51.41448510822906,-0.08892140204936479
E05000117,Darwin,51.32715112374254,0.05721757026735311
E05000119,Hayes and Coney Hall,51.369782704327605,0.011560103744970227
E05000108,Bromley Common and Keston,51.3725609274715,0.040773758687245414
E05000110,Chelsfield and Pratts Bottom,51.351035753935356,0.11320685394941057
E05000107,Biggin Hill,51.31630157440466,0.02366797036895751
E05000127,West Wickham,51.37792781905612,-0.01155614947479286
E05000112,Clock House,51.404966431572596,-0.04783606668283378
E05000120,Kelsey and Eden Park,51.393656893793334,-0.029733064462770173
E05000118,Farnborough and Crofton,51.36539010073642,0.06693097893571498
E05000126,Shortlands,51.396437347871945,-0.0017319129371251608
E05000109,Bromley Town,51.40372223613502,0.01471592420986237
E05000106,Bickley,51.40163931366627,0.04632565204831452
E05000124,Petts Wood and Knoll,51.385896776579074,0.07854493051358258
E05000116,Crystal Palace,51.41699319412887,-0.06883393861781982
E05000123,Penge and Cator,51.415958190648645,-0.048324887070267594
E05000113,Copers Cope,51.411809458115535,-0.019417989570280972
E05000125,Plaistow and Sundridge,51.41777665250573,0.02330076005939443
E05000111,Chislehurst,51.41309355984301,0.07429068553630452
E05000121,Mottingham and Chislehurst North,51.43230774194406,0.04159029518044606
E05000122,Orpington,51.371321365062656,0.10941661560012225
E05000115,Cray Valley West,51.400350301468194,0.10265412963806825
E05000114,Cray Valley East,51.39167041974137,0.13166041978607604
E05000346,Bedfont,51.45040621545109,-0.4399447478265548
E05000353,Hanworth,51.43251206501994,-0.3914653370874807
E05000350,Cranford,51.473492928549945,-0.4048743895645512
E05000364,Syon,51.47894742949325,-0.31710737067398487
E05000357,Heston West,51.488042528022596,-0.3973646399936654
E05000356,Heston East,51.483989320700374,-0.3704069123578492
E05000363,Osterley and Spring Grove,51.48670998116082,-0.3442702444041674
E05000347,Brentford,51.49272213698849,-0.301698872455139
E05000348,Chiswick Homefields,51.48394176162082,-0.2543333095138661
E05000352,Feltham West,51.43925804435303,-0.4281016158167477
E05000354,Hanworth Park,51.44040285170596,-0.40229731443315964
E05000351,Feltham North,51.45769039197211,-0.41076610300674526
E05000359,Hounslow Heath,51.45900922818268,-0.38128133554554117
E05000361,Hounslow West,51.46838757466814,-0.38312581084314234
E05000355,Heston Central,51.47887747068784,-0.38081092680953554
E05000360,Hounslow South,51.46303665236625,-0.35007819424717074
E05000362,Isleworth,51.46488264706923,-0.33160909431458324
E05000358,Hounslow Central,51.47103686971839,-0.3566582203887763
E05000349,Chiswick Riverside,51.483333224386534,-0.27052327181335734
E05000365,Turnham Green,51.49287011692751,-0.2704492418440854
E05000186,Norwood Green,51.50212978920623,-0.36091301409138243
E05000190,Southall Green,51.50001021693722,-0.38994881429757994
E05000185,Northolt West End,51.53827869576838,-0.39410936689081466
E05000172,Dormers Wells,51.51586239083161,-0.36159972717736033
E05000177,Greenford Broadway,51.5323013652369,-0.3632991014205672
E05000183,North Greenford,51.55044243518651,-0.33291171839887795
E05000182,Northfield,51.49844100702231,-0.31519281512818087
E05000175,East Acton,51.521547969529934,-0.26053677930189234
E05000189,Southall Broadway,51.50929355406422,-0.383421718675695
E05000176,Elthorne,51.50507416463077,-0.33387658371710077
E05000192,Walpole,51.50686396614536,-0.3155190039211174
E05000181,Lady Margaret,51.52304141791067,-0.37060574680901803
E05000184,Northolt Mandeville,51.54848596221813,-0.37167215402724496
E05000180,Hobbayne,51.51936941996061,-0.3407575884336137
E05000171,Cleveland,51.52360647687203,-0.32271344875220226
E05000178,Greenford Green,51.54230649711356,-0.3485957619653341
E05000187,Perivale,51.53564217364668,-0.3234170630958896
E05000174,Ealing Common,51.50686245629848,-0.29546058025589783
E05000173,Ealing Broadway,51.51707085143821,-0.3096208188143578
E05000188,South Acton,51.506605144246365,-0.2773891568309173
